kit_id,title,file_name,creation_date
d296c943-4894-484a-b0c3-9b3783accbaa,A,a,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,AltLeft,alt_left,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,AltRight,alt_right,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,B,b,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,Backspace,backspace,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,C,c,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,CtrlLeft,ctrl_left,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,CtrlRight,ctrl_right,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,D,d,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,E,e,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,Enter,enter,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,Esc,Esc,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,F,f,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,Fn,fn,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,G,g,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,H,h,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,I,i,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,J,j,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,K,k,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,L,l,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,Less,less,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,M,m,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,More,more,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,N,n,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,O,o,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,P,p,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,Q,q,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,R,r,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,S,s,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,ShiftLeft,shift_left,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,ShiftRight,shift_right,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,Space,space,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,T,t,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,Tab,tab,1706026855
d296c943-4894-484a-b0c3-9b3783accbaa,TwoDots,two_dots,1706026855
